T.J. Oshie	RW3	Miners	77
Jesse Ylönen	LW4	Miners	56
Tyler Johnson	C4	Miners	90
Sam Colangelo	RW4	Miners	46
Jakob Chychrun	LD1	Miners	6
Adam Larsson	RD1	Miners	5
Dmitry Kulikov	LD2	Miners	7
Matt Roy	RD2	Miners	3
Logan Stanley	LD3	Miners	64
Dylan Coghlan	RD3	Miners	52
Ukko-Pekka Luukkonen	G1	Miners	1
Alex Nedeljkovic	G2	Miners	39
Chris Kreider	LW1	Steamrollers	20
Logan Couture	C1	Steamrollers	39
Stefan Noesen	RW1	Steamrollers	11
Max Pacioretty	LW2	Steamrollers	67
Jack Roslovic	C2	Steamrollers	96
Nick Bjugstad	RW2	Steamrollers	17
Sonny Milano	LW3	Steamrollers	15
Will Smith	C3	Steamrollers	2
Tanner Jeannot	RW3	Steamrollers	84
Tyler Motte	LW4	Steamrollers	15
Nick Bonino	C4	Steamrollers	13
Matthew Phillips	RW4	Steamrollers	54
Shea Theodore	LD1	Steamrollers	27
Nikita Zadorov	RD1	Steamrollers	91
Jamie Oleksiak	LD2	Steamrollers	24
Jackson LaCombe	RD2	Steamrollers	60
Erik Gustafsson	LD3	Steamrollers	56
Jack Johnson	RD3	Steamrollers	3
Jonathan Quick	G1	Steamrollers	32
Ivan Fedotov	G2	Steamrollers	82
Mason McTavish	LW1	Bison	23
J.T. Miller	C1	Bison	8
Andrei Svechnikov	RW1	Bison	37
Matias Maccelli	LW2	Bison	63
Leo Carlsson	C2	Bison	91
Simon Holmström	RW2	Bison	10
Connor Zary	LW3	Bison	47
Scott Laughton	C3	Bison	24
Alex Killorn	RW3	Bison	17
Tye Kartye	LW4	Bison	12
Mackie Samoskevich	C4	Bison	25
Gavin Brindley	RW4	Bison	45
K'Andre Miller	LD1	Bison	19
Luke Hughes	RD1	Bison	43
Jeremy Lauzon	LD2	Bison	3
Erik Johnson	RD2	Bison	6
Joel Edmundson	LD3	Bison	20
Arber Xhekaj	RD3	Bison	72
Pyotr Kochetkov	G1	Bison	52
James Reimer	G2	Bison	34
Evan Rodrigues	LW1	Twisters	9
Ryan O'Reilly	C1	Twisters	90
Bryan Rust	RW1	Twisters	17
Ryan Donato	LW2	Twisters	8
Shane Pinto	C2	Twisters	12
Ryan Hartman	RW2	Twisters	38
Nils Höglander	LW3	Twisters	21
Alex Newhook	C3	Twisters	18
Alexander Holtz	RW3	Twisters	26
Connor Dewar	LW4	Twisters	19
Nicolas Aube-Kubel	C4	Twisters	96
Cal Clutterbuck	RW4	Twisters	15
Brock Faber	LD1	Twisters	14
Alex Pietrangelo	RD1	Twisters	7
Nick Seeler	LD2	Twisters	24
Connor Murphy	RD2	Twisters	5
Gustav Lindström	LD3	Twisters	27
Jani Hakanpää	RD3	Twisters	28
Marc-Andre Fleury	G1	Twisters	29
Anton Forsberg	G2	Twisters	31
Timo Meier	LW1	Destroyers	28
Tage Thompson	C1	Destroyers	72
David Pastrnak	RW1	Destroyers	88
Cole Perfetti	LW2	Destroyers	91
Aliaksei Protas	C2	Destroyers	21
Nino Niederreiter	RW2	Destroyers	62
Dmitri Voronkov	LW3	Destroyers	10
Mikael Backlund	C3	Destroyers	11
Anthony Mantha	RW3	Destroyers	39
Ivan Miroshnichenko	LW4	Destroyers	63
Jesperi Kotkaniemi	C4	Destroyers	82
Brock McGinn	RW4	Destroyers	23
Rasmus Dahlin	LD1	Destroyers	26
Rasmus Andersson	RD1	Destroyers	4
Brady Skjei	LD2	Destroyers	76
Colton Parayko	RD2	Destroyers	55
Alexander Alexeyev	LD3	Destroyers	27
Damon Severson	RD3	Destroyers	78
Ilya Sorokin	G1	Destroyers	30
Joey Daccord	G2	Destroyers	35
John Tavares	LW1	Sea Lions	91
Auston Matthews	C1	Sea Lions	34
Jonathan Marchessault	RW1	Sea Lions	81
Miles Wood	LW2	Sea Lions	28
Logan Cooley	C2	Sea Lions	92
Arthur Kaliyev	RW2	Sea Lions	43
Matt Nieto	LW3	Sea Lions	83
Jason Dickinson	C3	Sea Lions	16
Kevin Labanc	RW3	Sea Lions	64
Phillip Di Giuseppe	LW4	Sea Lions	33
Joshua Roy	C4	Sea Lions	89
Emil Bemström	RW4	Sea Lions	52
Adam Pelech	LD1	Sea Lions	3
Brandon Montour	RD1	Sea Lions	62
Darnell Nurse	LD2	Sea Lions	25
Nick Perbix	RD2	Sea Lions	48
David Jiricek	LD3	Sea Lions	55
Timothy Liljegren	RD3	Sea Lions	37
